id,usuario_id,descripcion,valor,categoria,fecha
104,1384,transferencia a claro nicaragua,87.04,Servicios,2025-09-09
105,238,bono cer (boncer / t2x),123.98,Inversion,2025-10-25
106,647,debito central madeirense,42.97,Alimentacion,2025-12-03
107,663,compra en conchos (taxis compartidos),29.27,Transporte,2025-07-05
108,236,aerolíneas sosa,11.34,Transporte,2025-02-03
109,1760,grupo tvcable (xtrim),131.13,Servicios,2025-01-23
110,203,pago mercado pago cl,244.52,Inversion,2025-04-15
111,256,cospal,171.69,Servicios,2025-05-31
112,598,pos acciones de empresas listadas en la bolsa de valores de caracas,190.8,Inversion,2025-09-17
113,662,compra en forum,99.19,Vestimenta,2025-08-03
114,235,banco familiar,618.7,Vivienda,2025-04-22
115,1369,ole,47.87,Alimentacion,2025-01-11
116,534,transferencia a muv,96.63,Transporte,2025-08-12
117,860,pago lacteos y embutidos,53.6,Alimentacion,2025-04-11
118,1490,mercado central,100.05,Ocio,2025-05-11
119,770,debito aeroregional,114.55,Transporte,2025-10-16
120,541,cargo por rapido ochoa,74.52,Transporte,2025-06-24
121,213,bhu (banco hipotecario del uruguay),709.78,Vivienda,2025-07-02
122,463,diunsa (sección ferretería),813.31,Vivienda,2025-04-21
123,436,inkafarma (inretail pharma),186.04,Salud,2025-11-14
124,283,transferencia a pull&bear,104.98,Vestimenta,2025-04-10
125,1586,pos tiendas panorama,317.02,Vivienda,2025-04-16
126,1631,debito brisanet (noreste),41.0,Servicios,2025-10-09
127,1487,llama gas (glp),69.62,Servicios,2025-11-18
128,1431,transferencia a mass,73.17,Alimentacion,2025-02-19
129,88,pago mantenimiento de vivienda,612.41,Vivienda,2025-02-27
130,1068,pago banco fie,487.63,Vivienda,2025-09-17
131,461,cargo por oftalmosalud,105.94,Salud,2025-04-03
132,278,hospital universitario austral,205.87,Salud,2025-11-25
133,1707,ejesa,91.04,Servicios,2025-07-12
134,421,pago air panama,177.63,Transporte,2025-10-11
135,1725,sansa airlines,92.81,Transporte,2025-02-14
136,1377,servicio de energia electrica,108.65,Servicios,2025-02-21
137,696,acciones (bvm),311.39,Inversion,2025-01-31
138,515,pos electrocentro,106.25,Servicios,2025-12-01
139,703,compra en tropigas,104.3,Servicios,2025-01-21
140,1654,debito farmacias el javillo,99.97,Salud,2025-05-27
141,19,compra en sirena (grupo ramos),72.07,Alimentacion,2025-03-09
142,23,compra en marido de aluguel,434.5,Vivienda,2025-08-18
143,413,cargo por fondos de inversión (operados por administradoras de fondos de inversión - afis),480.61,Inversion,2025-01-03
144,1054,compra en sefaz-sp,173.78,Servicios,2025-06-20
145,108,impuesto a la renta,109.93,Servicios,2025-05-13
146,1391,la colonia,53.85,Alimentacion,2025-03-16
147,1305,debito el halcón,699.03,Vivienda,2025-09-11
148,1152,pos bar do juarez,52.09,Ocio,2025-06-28
149,1253,pago fruteria,27.21,Alimentacion,2025-02-24
150,1135,transferencia a bac credomatic guatemala,708.54,Vivienda,2025-10-08
151,136,suburbia (sección),238.66,Electrodomesticos,2025-01-27
152,362,cargo por copa airlines,86.12,Transporte,2025-01-08
153,1210,plomeros a domicilio pr,756.29,Vivienda,2025-08-22
154,1680,debito max,524.48,Electrodomesticos,2025-05-06
155,1608,debito taxis estatales,198.72,Transporte,2025-06-09
156,129,transferencia a certificados de depósito a plazo fijo (cdp),145.38,Inversion,2025-12-09
157,1285,salitre swimwear,55.71,Vestimenta,2025-10-16
158,515,banco mercantil santa cruz,306.87,Vivienda,2025-05-05
159,449,mundo,97.73,Servicios,2025-01-31
160,1128,consumo sanepar,110.74,Servicios,2025-03-13
161,1507,compra en norgas,93.83,Servicios,2025-01-16
162,1248,pago la curacao (sección ropa),134.07,Vestimenta,2025-08-15
163,874,cienfuegos,65.79,Alimentacion,2025-03-24
164,1515,pos barra loka,31.94,Ocio,2025-02-28
165,473,consumo sears (sección),348.35,Electrodomesticos,2025-04-03
166,1034,transferencia a avianca costa rica,67.71,Transporte,2025-06-05
167,1429,debito enel colombia (bogotá / cundinamarca),82.75,Servicios,2025-05-21
168,302,pago clínica dental sonríe,194.12,Salud,2025-06-09
169,231,brasil paralelo,59.03,Ocio,2025-04-30
170,1755,tiendas maya,494.87,Vestimenta,2025-12-30
171,923,pago colegio alemán de la paz,221.72,Educacion,2025-09-12
172,1090,transferencia a el arabito,86.38,Ocio,2025-01-08
173,937,consumo t-mobile pr,81.11,Servicios,2025-10-01
174,112,pago santiago college,193.5,Educacion,2025-10-04
175,1037,compra en cinema la pradera,41.72,Ocio,2025-08-21
176,1417,tropigas de puerto rico,77.54,Servicios,2025-03-05
177,500,pago crepes & waffles,50.96,Ocio,2025-05-17
178,932,compra en plaza lama,40.53,Alimentacion,2025-01-17
179,598,pago marbete (impuesto de circulación),39.5,Servicios,2025-12-11
180,234,universidad católica del uruguay (ucu),175.05,Educacion,2025-11-19
181,602,compra en cdb,181.94,Inversion,2025-04-24
182,314,debito económico,45.83,Alimentacion,2025-04-27
183,566,compra en clínica anglo americana,213.16,Salud,2025-11-22
184,1036,debito paramount+,62.43,Ocio,2025-05-18
185,209,pago pullmantur,94.22,Transporte,2025-03-27
186,1038,compra en lippi,262.96,Vestimenta,2025-12-12
187,1657,pago argenprop,789.51,Vivienda,2025-12-14
188,1442,compra en ara,66.68,Alimentacion,2025-04-22
189,1461,compra bitcoin btc,219.2,Inversion,2025-04-12
190,1401,agua y drenaje de monterrey (sadm),110.28,Servicios,2025-04-10
191,1044,compra en ferreterías calzada,564.17,Vivienda,2025-10-07
192,587,cargo por hospital la católica,99.4,Salud,2025-04-28
193,1779,cable mágico / cablevisión local,79.72,Servicios,2025-11-01
194,1759,cargo por movistar play colombia,71.87,Ocio,2025-08-26
195,1015,compra en mercado pago br,274.83,Inversion,2025-10-03
196,1094,bonos del tesoro,147.65,Inversion,2025-04-22
197,1235,transferencia a certificados de depósito a plazo (cdp),319.67,Inversion,2025-02-13
198,1125,compra en karaoke y bar,94.22,Ocio,2025-06-08
199,698,farmacias batres,147.24,Salud,2025-12-14
200,132,despensa familiar,30.09,Alimentacion,2025-05-13
201,1647,pago aeroméxico,99.4,Transporte,2025-06-25
202,1405,real,75.68,Alimentacion,2025-06-23
203,1156,sri (servicio de rentas internas),79.15,Servicios,2025-05-28
204,1044,debito impuesto sobre bienes inmuebles,144.31,Servicios,2025-07-12
205,536,diarco,81.65,Alimentacion,2025-09-14
206,1014,consumo chao teatro,43.53,Ocio,2025-12-07
207,227,compra en civa,176.36,Transporte,2025-06-16
208,1178,pampa energía (byma),260.91,Inversion,2025-04-24
209,1766,casa paraná,540.43,Vivienda,2025-11-04
210,1493,marabraz,534.04,Vivienda,2025-10-06
211,822,debito infonavit,283.59,Vivienda,2025-12-23
212,871,transferencia a eeq (quito),149.3,Servicios,2025-02-21
213,405,tecmilenio,171.62,Educacion,2025-11-07
214,202,consulta medica especialista,68.38,Salud,2025-10-22
215,38,servicios de reparación cr,380.84,Vivienda,2025-09-22
216,942,transferencia a oxxo chile,50.28,Alimentacion,2025-03-30
217,1796,la cava del duende,31.33,Ocio,2025-09-17
218,188,compra en itaú unibanco (b3),299.08,Inversion,2025-01-29
219,1081,comex (pinturas y recubrimientos),718.71,Vivienda,2025-07-12
220,941,debito siete negronis,32.07,Ocio,2025-08-24
221,1044,frutas y verduras,116.75,Alimentacion,2025-03-23
222,273,masgas,71.52,Servicios,2025-04-20
223,1143,debito fondos de inversión abiertos (fia),419.98,Inversion,2025-06-09
224,583,intertur,154.76,Transporte,2025-04-12
225,516,debito heb,39.31,Alimentacion,2025-05-30
226,1245,avianca ecuador,161.54,Transporte,2025-12-12
227,526,pago café magia,47.13,Ocio,2025-06-20
228,1539,transferencia a easy,261.89,Vivienda,2025-12-31
229,1752,farmacias vicente scavone,56.64,Salud,2025-12-26
230,1765,debito títulos de participación (en ciertos proyectos estatales o mixtos),157.21,Inversion,2025-06-26
231,336,cargo por fondos mutuos (ffmm): deuda nacional,266.8,Inversion,2025-04-08
232,698,pago santa isabel (cencosud),54.22,Alimentacion,2025-04-24
233,1079,pos clasificados el universal,502.99,Vivienda,2025-01-11
234,500,pedidosya,34.7,Transporte,2025-03-01
235,900,debito bowen,113.35,Vestimenta,2025-07-20
236,766,debito epm gas,174.99,Servicios,2025-06-08
237,536,consumo oficiosuy,797.18,Vivienda,2025-11-01
238,162,farmacia internacional,163.57,Salud,2025-12-19
239,1694,yape,244.68,Inversion,2025-09-25
240,594,consumo avianca costa rica,61.75,Transporte,2025-09-01
241,159,pos cot,29.19,Transporte,2025-04-29
242,1212,champs sports,131.66,Vestimenta,2025-05-18
243,60,pago marido de aluguel,351.12,Vivienda,2025-09-07
244,915,transferencia a universidad del rosario,72.5,Educacion,2025-08-20
245,1343,pago fondos de jubilaciones y pensiones,169.52,Inversion,2025-08-06
246,211,juan valdez chile,65.04,Ocio,2025-02-04
247,406,makro (sección),586.96,Electrodomesticos,2025-06-01
248,664,transferencia a inmuebles.com,460.43,Vivienda,2025-09-25
249,1133,debito consulta dermatologica,169.39,Salud,2025-09-09
250,1100,transferencia a banco galicia,533.56,Vivienda,2025-09-03
251,542,debito grupo tvcable (xtrim),77.96,Servicios,2025-03-08
252,1338,transferencia a sanatorio otamendi,58.86,Salud,2025-11-27
253,998,fondos mutuos (ffmm): balanceados,193.56,Inversion,2025-12-11
254,1141,farmacias batres,97.95,Salud,2025-05-27
255,927,transferencia a plazo fijo uva,299.86,Inversion,2025-05-28
256,868,transferencia a interagua (guayaquil),125.07,Servicios,2025-09-16
257,1728,colegio marymount,282.32,Educacion,2025-04-20
258,19,pago indumentaria deportiva,85.03,Vestimenta,2025-04-06
259,432,compra en libreria universitaria,358.18,Educacion,2025-04-18
260,1709,hospital cira garcía,126.44,Salud,2025-04-17
261,740,record electric,351.31,Electrodomesticos,2025-05-11
262,1374,consumo colchones paraíso,796.97,Vivienda,2025-01-25
263,183,fondos de inversión abiertos (fia),325.42,Inversion,2025-09-02
264,113,pos electricistas calificados gt,701.2,Vivienda,2025-12-04
265,1207,debito makro,76.48,Alimentacion,2025-01-29
266,481,fruteria,82.75,Alimentacion,2025-09-06
267,1170,pago la colonia,28.91,Alimentacion,2025-03-13
268,831,pago libri mundi,182.27,Educacion,2025-12-06
269,1652,compra en impuesto sobre ingresos brutos,120.95,Servicios,2025-08-02
270,1137,transferencia a telecaribe / metrotel,31.8,Servicios,2025-10-13
271,763,debito megamaxi(corporación favorita),47.34,Alimentacion,2025-07-11
272,476,pago uade,350.1,Educacion,2025-11-20
273,763,compra en impuesto de circulación de vehículos (placa),30.72,Servicios,2025-10-10
274,1327,compra en colégio maxi,172.25,Educacion,2025-11-02
275,971,consumo bus transit (metrobus),51.24,Transporte,2025-04-10
276,1020,compra en quero-quero,470.32,Vivienda,2025-05-31
277,1142,cargo por eden,55.68,Servicios,2025-01-14
278,161,transferencia a renner uruguay,163.95,Vestimenta,2025-09-29
279,401,pago walmart de méxico,60.48,Alimentacion,2025-06-14
280,198,pos total casa,604.33,Vivienda,2025-03-01
281,1284,santa isabel (cencosud),81.24,Alimentacion,2025-02-06
282,660,compra en yaguar,99.88,Alimentacion,2025-12-19
283,1776,bancolombia,807.63,Vivienda,2025-09-07
284,1071,compra en tai heng,103.32,Educacion,2025-07-16
285,399,compra en medias y calcetines,352.98,Vestimenta,2025-02-05
286,1734,debito hospital docente clínico quirúrgico hermanos ameijeiras (servicios de salud mental),156.74,Salud,2025-11-24
287,1583,transferencia a el zaguan,55.34,Ocio,2025-03-21
288,78,pago etna,452.78,Vivienda,2025-10-09
289,124,ama (autoridad de transporte metropolitano),137.81,Transporte,2025-07-11
290,75,compra en lojas renner,218.91,Vestimenta,2025-11-10
291,137,fci money market (t+0),200.73,Inversion,2025-08-09
292,602,debito plaza,40.38,Alimentacion,2025-09-19
293,1424,consumo fondos de inversión (operados por administradoras de fondos de inversión - afis),269.62,Inversion,2025-02-20
294,837,pos banco de venezuela,721.32,Vivienda,2025-08-28
295,1529,pago anacapri,50.62,Vestimenta,2025-12-10
296,500,pago rm (ropa de moda),471.38,Vestimenta,2025-10-13
297,1597,pago centro oftalmológico de nicaragua,81.44,Salud,2025-02-25
298,138,transferencia a lca (letras de crédito do agronegócio),336.49,Inversion,2025-11-21
299,50,pago universidad de belgrano (ub),196.88,Educacion,2025-10-10
300,1795,walmart guatemala,23.54,Alimentacion,2025-11-27
301,973,debito huerta bar,106.18,Ocio,2025-03-14
302,1643,sapal (león),86.92,Servicios,2025-11-23
303,1649,maestro directo,746.84,Vivienda,2025-06-17
304,254,consumo entradas de futbol,94.96,Ocio,2025-06-26
305,1654,bbva méxico,542.04,Vivienda,2025-03-21
306,710,transferencia a plaza carlos iii,260.62,Vestimenta,2025-07-25
307,563,yappy taxi,146.07,Transporte,2025-04-01
308,757,sapal (león),121.76,Servicios,2025-03-23
309,1450,compra en changomás (grupo de narváez),60.46,Alimentacion,2025-11-14
310,547,consumo centro oftalmológico de puerto rico,61.32,Salud,2025-03-08
311,1326,pago falabella,297.75,Vestimenta,2025-09-25
312,922,berríos,725.87,Vivienda,2025-04-27
313,581,cargo por teatro heredia (adolfo mejía),41.6,Ocio,2025-06-03
314,1373,transferencia a elfec,56.59,Servicios,2025-08-31
315,49,cemaco,539.17,Vivienda,2025-02-18
316,917,pos centro de diagnóstico médico (cedim),129.84,Salud,2025-11-25
317,1098,set (subsecretaría de estado de tributación),110.85,Servicios,2025-10-26
318,704,compra en snipes,110.3,Vestimenta,2025-03-06
319,261,consumo gontijo,88.98,Transporte,2025-09-19
320,356,isimo,100.36,Alimentacion,2025-04-27
321,1606,pago supermercados bravo,20.89,Alimentacion,2025-09-16
322,1626,pago opera,48.18,Ocio,2025-12-16
323,1284,re/max uruguay,343.64,Vivienda,2025-07-07
324,638,transferencia a ashley furniture rd,661.24,Vivienda,2025-12-12
325,743,banco mercantil santa cruz,748.61,Vivienda,2025-12-20
326,1319,banco de crédito del perú (bcp),540.81,Vivienda,2025-11-24
327,1010,consumo ejesa,156.35,Servicios,2025-12-10
328,931,compra en ikea,615.03,Vivienda,2025-07-19
329,641,estacionamiento y cochera,88.14,Transporte,2025-10-15
330,792,restaurante la casona,88.09,Ocio,2025-04-20
331,1337,pago banco do brasil,568.38,Vivienda,2025-09-25
332,612,debito teatro melico salazar,82.93,Ocio,2025-06-20
333,809,pago tes (títulos de tesorería del gobierno nacional),263.82,Inversion,2025-06-24
334,1206,pos claro paraguay,106.74,Servicios,2025-09-12
335,686,pago puma abarrotero,38.42,Alimentacion,2025-01-18
336,1388,ikea,520.59,Vivienda,2025-04-26
337,188,transferencia a trans copacabana,95.88,Transporte,2025-06-23
338,1593,emcali teleco,48.19,Servicios,2025-10-01
339,1567,cargo por almacenes iberia,95.65,Alimentacion,2025-11-14
340,1620,pago dismac,360.42,Electrodomesticos,2025-01-16
341,1688,pos sapal (león),87.12,Servicios,2025-09-21
342,985,ensas,134.84,Servicios,2025-04-12
343,548,transferencia a clínica de especialidades odontológicas (ceo),71.5,Salud,2025-07-25
344,725,compra en fondos de inversión (operados por bancos),230.45,Inversion,2025-04-23
345,926,debito cm airlines,49.53,Transporte,2025-09-24
346,1432,el colono construcción,739.44,Vivienda,2025-09-28
347,876,pago gasolinera petroecuador,133.57,Servicios,2025-02-03
348,618,compra en camisa manga larga,143.5,Vestimenta,2025-06-19
349,414,pago sepaf,41.32,Servicios,2025-03-04
350,1366,puma abarrotero,46.23,Alimentacion,2025-04-16
351,1244,compra en mayorista 10,65.62,Alimentacion,2025-02-27
352,903,pago servicios técnicos en general,460.36,Vivienda,2025-08-23
353,163,farmacias saas,118.04,Salud,2025-11-26
354,1244,debito voepass linhas aéreas,125.78,Transporte,2025-09-30
355,270,compra en suburbia,242.8,Vestimenta,2025-11-04
356,632,essbio,111.14,Servicios,2025-06-17
357,906,almacen de barrio,110.69,Alimentacion,2025-08-30
358,1424,deusem,46.46,Servicios,2025-06-26
359,1206,consumo articulos de ferreteria,770.92,Vivienda,2025-07-31
360,1642,telcel (américa móvil),112.92,Servicios,2025-11-23
361,1753,compra en plaza carlos iii,160.71,Vestimenta,2025-04-19
362,205,consumo compra de acciones,249.63,Inversion,2025-01-28
363,582,ok market,116.99,Alimentacion,2025-05-14
364,1580,ambev (b3),303.5,Inversion,2025-04-23
365,841,quintonil,33.42,Ocio,2025-11-15
366,1252,debito arturo calle,254.22,Vestimenta,2025-01-28
367,1720,impuesto a las transacciones (it),89.04,Servicios,2025-10-23
368,1643,colegio menor san francisco de quito,185.39,Educacion,2025-07-25
369,596,debito gallo,336.49,Electrodomesticos,2025-04-04
370,250,pago servicio tecnico automotor,158.7,Transporte,2025-08-31
371,875,transferencia a onat (oficina nacional de administración tributaria),29.54,Servicios,2025-07-12
372,1465,academia de musica,179.94,Educacion,2025-03-25
373,1557,pos tigo bolivia,128.7,Servicios,2025-10-24
374,196,compra en vivanuncios,551.93,Vivienda,2025-02-13
375,690,compra en absa,127.48,Servicios,2025-12-30
376,1543,debito libertad,74.37,Alimentacion,2025-11-01
377,1094,cargo por andes líneas aéreas,108.1,Transporte,2025-03-17
378,639,servicio de electricista,516.48,Vivienda,2025-09-23
379,1423,transferencia a gases del occidente,48.44,Servicios,2025-07-24
380,672,debito tigo costa rica,108.17,Servicios,2025-02-17
381,1784,infonavit,518.77,Vivienda,2025-10-27
382,1227,personal pay,261.69,Inversion,2025-03-04
383,1172,debito mercado pago br,374.92,Inversion,2025-12-16
384,1496,transferencia a grupo méxico (bmv / biva),247.51,Inversion,2025-12-11
385,1679,cargo por cemex (bmv / biva),251.68,Inversion,2025-08-14
386,944,compra en mercado municipal,91.88,Alimentacion,2025-07-10
387,199,factura de gas natural,160.54,Servicios,2025-07-09
388,1450,compra en red salud uc christus,96.53,Salud,2025-07-24
389,1690,debito el palenque,46.66,Ocio,2025-11-14
390,492,debito amaszonas,47.03,Transporte,2025-10-23
391,896,servicio de fumigacion,561.26,Vivienda,2025-04-25
392,142,bonos del tesoro cubano,254.05,Inversion,2025-11-01
393,1337,elektra (tiendas la curacao),460.95,Electrodomesticos,2025-12-21
394,165,transferencia a broker,207.27,Inversion,2025-11-19
395,314,pago disnorte-dissur,53.72,Servicios,2025-08-27
396,21,pago tiendas ara,59.78,Alimentacion,2025-06-27
397,1106,debito de prati (sección),292.02,Electrodomesticos,2025-06-14
398,1605,lacteos y embutidos,43.11,Alimentacion,2025-11-18
399,1155,compra en itaú chile,378.73,Vivienda,2025-05-14
400,1623,compra en vuelo de cabotaje,151.11,Transporte,2025-11-05
401,1754,gd30,325.06,Inversion,2025-05-29
402,984,compra en scappino,122.77,Vestimenta,2025-10-13
403,305,transferencia a d1,53.43,Alimentacion,2025-05-10
404,371,transferencia a television por cable,62.44,Servicios,2025-04-06
405,853,pos clínica imbanaco,97.0,Salud,2025-06-20
406,384,ponto frio,514.6,Electrodomesticos,2025-09-08
407,445,metro pavia laboratories,152.17,Salud,2025-11-19
408,425,pago cda (certificados de depósito de ahorro),113.2,Inversion,2025-10-12
409,161,compra en farmacias la bomba,107.65,Salud,2025-01-13
410,1202,compra en compra de comida,49.8,Alimentacion,2025-08-13
411,629,cargo por maito,49.63,Ocio,2025-03-17
412,1732,pago brasilia,36.79,Transporte,2025-04-01
413,895,jamar (mueblería líder),777.47,Vivienda,2025-06-26
414,490,panamá gas,108.09,Servicios,2025-10-20
415,1017,pago muebles fina,338.61,Vivienda,2025-07-04
416,327,compra en puma abarrotero,64.47,Alimentacion,2025-03-23
417,598,compra en naturgy,59.35,Servicios,2025-10-02
418,1015,pago dietetica productos naturales,47.47,Alimentacion,2025-08-12
419,289,entradas para concierto,85.16,Ocio,2025-10-19
420,593,banco itaú paraguay,407.75,Vivienda,2025-01-23
421,1688,transferencia a contribución inmobiliaria,120.44,Servicios,2025-04-19
422,1597,transferencia a samsa,157.81,Servicios,2025-07-13
423,573,mercado pago mx,141.62,Inversion,2025-01-14
424,1378,transferencia a fondos de inversión abiertos (fia),172.96,Inversion,2025-09-08
425,28,compra en banco nación,528.14,Vivienda,2025-12-10
426,954,pago bonos del tesoro (tes),394.59,Inversion,2025-10-03
427,43,debito papelería san diego,88.19,Educacion,2025-10-21
428,1705,pago bonos del gobierno,199.6,Inversion,2025-11-29
429,423,cargo por acciones (bvq / bvg),167.6,Inversion,2025-10-25
430,1622,pago carga de gnc vehicular,67.75,Transporte,2025-07-03
431,177,argenprop,957.32,Vivienda,2025-02-08
432,529,pampa energía (byma),167.66,Inversion,2025-06-13
433,1634,pago komprão,106.17,Alimentacion,2025-02-24
434,966,redsalud dental,194.39,Salud,2025-08-29
435,1518,consumo banco itaú paraguay,785.67,Vivienda,2025-09-25
436,198,debito palí,83.03,Alimentacion,2025-07-09
437,610,clínica oftalmológica visual láser,102.98,Salud,2025-09-11
438,1601,compra en indian,189.6,Vestimenta,2025-05-09
439,842,consumo yapo.cl (sección inmuebles),866.34,Vivienda,2025-07-08
440,853,cargo por seguro de vida,65.2,Servicios,2025-11-13
441,1541,líder express (walmart),53.64,Alimentacion,2025-03-22
442,1538,pos certificados de depósito a plazo fijo (en bancos estatales),314.95,Inversion,2025-12-10
443,22,cargo por pampa energía (byma),197.36,Inversion,2025-03-31
444,1136,bitel (viettel),103.14,Servicios,2025-02-01
445,1081,compra en samaritana hardware,604.53,Vivienda,2025-08-26
